Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
38372034;Príncipe Letras II by Madflats Collection;112373304;Cortes;Entire home/apt;145;1;7;2020-03-04;0.68;60;345;2020-07-17;Madrid;Spain;40.416221180505566, -3.701511872430874;Spain, Madrid, Cortes
38378327;Habitación individual a 20 min en coche del centro;250363920;Casco Histórico de Vicálvaro;Private room;20;1;18;2020-03-06;1.82;1;179;2020-07-17;Madrid;Spain;40.417597820658045, -3.5278038179271807;Spain, Madrid, Casco Histórico de Vicálvaro
38399517;EXTERIOR, en calle Preciados, junto a Callao. WIFI;292510687;Sol;Entire home/apt;95;7;4;2020-01-31;0.44;1;364;2020-07-17;Madrid;Spain;40.41945706093119, -3.7076601614203586;Spain, Madrid, Sol
38472428;ALQUILER HABITACIÓN CENTRO MADRID;194341278;Justicia;Private room;30;1;24;2020-03-01;2.37;1;180;2020-07-17;Madrid;Spain;40.42212528030869, -3.6964819241043276;Spain, Madrid, Justicia
38591821;Modern 2Bed Apt Sleeps 4 nr Retiro, 2mins to metro;188699341;Adelfas;Entire home/apt;68;2;10;2020-02-21;1.0;2;171;2020-07-17;Madrid;Spain;40.40533919364564, -3.668592424319297;Spain, Madrid, Adelfas
38630765;Estudio · 60 Balconies Atocha;31774454;Embajadores;Entire home/apt;168;1;0;;;3;365;2020-07-17;Madrid;Spain;40.408899324594096, -3.6928020815107527;Spain, Madrid, Embajadores
38654511;Canaan Boutique Apartments Madrid 3C;294229909;Palacio;Entire home/apt;99;2;6;2019-10-23;0.6;8;179;2020-07-17;Madrid;Spain;40.421372751224936, -3.7089475397385954;Spain, Madrid, Palacio
38727654;Apartamento Confortable a 300 m de la Gran Vía.;182062359;Universidad;Entire home/apt;75;2;30;2020-03-11;3.03;2;212;2020-07-17;Madrid;Spain;40.42141161736434, -3.701386062178036;Spain, Madrid, Universidad
38746555;Luminoso, confortable - Junto IFEMA y Aeropuerto;296089283;Pinar del Rey;Entire home/apt;200;3;11;2020-01-18;1.12;1;82;2020-07-17;Madrid;Spain;40.472530294467106, -3.656075668615963;Spain, Madrid, Pinar del Rey
38752571;Amazing Loft Madrid city center.;296347020;Embajadores;Entire home/apt;89;28;34;2020-03-08;3.48;3;0;2020-07-17;Madrid;Spain;40.40928901585492, -3.697015489487018;Spain, Madrid, Embajadores
38813113;2 large Rms for up to 6ppl private bath balcon;296892904;Embajadores;Private room;220;1;5;2019-12-08;0.54;5;70;2020-07-17;Madrid;Spain;40.40728239804193, -3.7102246573238213;Spain, Madrid, Embajadores
38831455;Charming Loft in La Latina, close to city centre;280397814;Palacio;Entire home/apt;47;1;10;2020-02-12;1.02;3;364;2020-07-17;Madrid;Spain;40.409789685673395, -3.710850725614714;Spain, Madrid, Palacio
38832902;Central Madrid, Malasaña. Heart of Madrid!!;31284363;Universidad;Entire home/apt;70;1;6;2020-02-16;0.69;2;179;2020-07-17;Madrid;Spain;40.42518051199658, -3.70406214486307;Spain, Madrid, Universidad
38878020;Spacious triple room door lock terrace elevator;296892904;Palacio;Private room;65;1;13;2020-03-01;1.35;5;32;2020-07-17;Madrid;Spain;40.40947733015688, -3.7107262027544943;Spain, Madrid, Palacio
38888250;PENTHOUSE in PUERTA DE ALCALÁ perfect BIG FAMILIES;107141654;Jerónimos;Entire home/apt;800;2;25;2020-06-22;2.75;69;21;2020-07-17;Madrid;Spain;40.417796794464536, -3.687569051036284;Spain, Madrid, Jerónimos
38941477;Habitación con baño compartido en el centro;12478550;Justicia;Private room;40;2;7;2020-02-24;0.75;2;179;2020-07-17;Madrid;Spain;40.42228937418974, -3.6997794196371396;Spain, Madrid, Justicia
38955551;ALCALÁ YELLOW SUN. FREE PARKING ZONE. Pro Cleaning;262612878;Quintana;Entire home/apt;100;4;18;2020-03-08;1.88;1;358;2020-07-17;Madrid;Spain;40.435007613960664, -3.653299737368086;Spain, Madrid, Quintana
38976817;Single cozy room Sol metro station;34212673;Cortes;Private room;35;3;1;2020-01-02;0.15;26;364;2020-07-17;Madrid;Spain;40.41569528901732, -3.7004302621704466;Spain, Madrid, Cortes
39003945;Apartamento completo con 2 habitaciones y terraza;71952267;Canillas;Entire home/apt;75;2;11;2020-02-28;1.21;2;65;2020-07-17;Madrid;Spain;40.461181147767526, -3.650456106306537;Spain, Madrid, Canillas
39021943;Habitación privada+baño.Metro, tren cerca ciudad.;15370009;Mirasierra;Private room;32;1;14;2019-12-19;1.46;1;20;2020-07-17;Madrid;Spain;40.494556100610424, -3.7214575488674724;Spain, Madrid, Mirasierra
39027938;Delightful apartment in the heart of Chamberí;14809898;Gaztambide;Entire home/apt;75;2;4;2020-03-01;0.44;7;256;2020-07-17;Madrid;Spain;40.43281677219791, -3.711841898452883;Spain, Madrid, Gaztambide
39108689;Piso cerca de la boca del metro;299761690;Vista Alegre;Entire home/apt;89;10;1;2019-10-08;0.11;1;179;2020-07-17;Madrid;Spain;40.390292549927196, -3.736636924651059;Spain, Madrid, Vista Alegre
39189533;Beautiful 2 bed flat in the heart of Malasaña.;16415921;Universidad;Entire home/apt;100;1;14;2020-02-23;1.52;1;0;2020-07-17;Madrid;Spain;40.426380609319246, -3.7016724462707526;Spain, Madrid, Universidad
39248656;Piso en Usera;301268277;Pradolongo;Entire home/apt;68;8;1;2019-10-11;0.11;1;365;2020-07-17;Madrid;Spain;40.385324384416045, -3.7094697038945568;Spain, Madrid, Pradolongo
39350392;carlos centro la latina plaza mayor;22089497;Palacio;Private room;250;14;2;2019-11-07;0.23;9;363;2020-07-17;Madrid;Spain;40.40771874203367, -3.7103824588158583;Spain, Madrid, Palacio
39386698;Canaan Boutique Apartments Madrid 7C;294229909;Palacio;Entire home/apt;85;1;2;2019-12-29;0.28;8;141;2020-07-17;Madrid;Spain;40.42125093235847, -3.7082636296448475;Spain, Madrid, Palacio
39408176;Orange flat-Austrias-Madrid;29518293;Palacio;Entire home/apt;1400;2;0;;;5;363;2020-07-17;Madrid;Spain;40.41734800982301, -3.7095862632017367;Spain, Madrid, Palacio
39443120;Tirso de Molina-Amazing, Stylish & Neat;302960188;Embajadores;Entire home/apt;49;1;12;2020-03-08;1.39;1;124;2020-07-17;Madrid;Spain;40.412140624520084, -3.7034307106230733;Spain, Madrid, Embajadores
39466617;Habitacion en casa familiar;156173093;Puerta Bonita;Private room;21;1;2;2019-12-15;0.22;3;364;2020-07-17;Madrid;Spain;40.37976184812564, -3.7324528549719975;Spain, Madrid, Puerta Bonita
39483499;Room un family;303297709;Vista Alegre;Private room;32;10;1;2019-10-21;0.11;1;365;2020-07-17;Madrid;Spain;40.391127296709946, -3.739423539548559;Spain, Madrid, Vista Alegre
39549989;CC Atocha - Individual Cama 90 cm;303854942;Palos de Moguer;Private room;1000;1;2;2020-01-14;0.29;5;1;2020-07-17;Madrid;Spain;40.4061388968779, -3.694369035727015;Spain, Madrid, Palos de Moguer
